"","gene_id","gene_name","DG-WT-hRGC","EP1-BRN3B-RO","H9-BRN3B-RO","hRGC"
"17899","MON1B","MON1B",574.311679364135,618.440045002155,788.699697960762,696.091880597585
"17900","MON2","MON2",905.447080400976,839.387393706421,846.915804043919,1125.27244396022
"17901","MORC1","MORC1",0,17.0100703135033,49.9214580623106,4.0008817156684
"17902","MORC2","MORC2",758.555315344763,399.938844629127,362.974675098013,802.723284376013
"17903","MORC3","MORC3",850.735677329487,585.991711505848,503.301840931103,1133.12011821002
"17904","MORC4","MORC4",473.782851414417,1596.03065720317,2261.89202013866,716.353253809443
"17905","MORF4","MORF4",0,0,4.0000040124987,0
"17906","MORF4L1","MORF4L1",8261.39015782707,5454.92212739163,4510.96340763756,12029.1088999511
"17907","MORF4L1P1","MORF4L1P1",2.43639315671931,5.04908635594817,4.49959916085463,1.11637785111637
"17908","MORF4L1P3","MORF4L1P3",1.06443626199346,1.06846104606773,2.00122342295942,2.06451401888956
"17909","MORF4L1P4","MORF4L1P4",0,2.00000413672387,5.00472282695085,4.01287570640783
"17910","MORF4L1P5","MORF4L1P5",12.0628488551029,17.703564950892,11.3075759047053,15.0294071088503
"17911","MORF4L1P6","MORF4L1P6",0,0,1.00000457451856,0
"17912","MORF4L1P7","MORF4L1P7",2.0000045719837,1.00000206836194,2.99999943798013,0
"17913","MORF4L2","MORF4L2",3916.83706215804,2427.76071110629,3236.37857103804,9713.11058496463
"17914","MORF4L2P1","MORF4L2P1",0.962474472686718,0,2.07943694913031,0
"17915","MORN1","MORN1",111.712600837554,288.32541688857,293.585934656855,145.978881652864
"17916","MORN2","MORN2",274.649387393312,547.650361391164,560.188302783779,341.805420081452
"17917","MORN3","MORN3",83.8149074352924,91.5394897793556,97.3659687500605,92.3144071382005
"17918","MORN4","MORN4",761.054181673843,378.145382720316,354.746697858287,1136.12158893842
"17919","MORN5","MORN5",0.999994715321423,35.9999980900148,57.9999938961411,5.00069996917446
"17920","MOS","MOS",0.999994715321423,0,1.00000457451856,0
"17921","MOSMO","MOSMO",469.03570794738,388.257103650246,399.361478883113,698.301381397569
"17922","MOSPD1","MOSPD1",289.911223037215,154.055488948861,211.315633596196,302.311428177525
"17923","MOSPD2","MOSPD2",1085.19663014425,1232.97995974408,1186.17066663148,1224.33146510312
"17924","MOSPD3","MOSPD3",407.859103744901,306.938041303348,193.946573698336,505.779828862019
"17925","MOV10","MOV10",33.0530019946841,532.842770048938,310.023417887111,142.420637249085
"17926","MOV10L1","MOV10L1",7.00174968547066,29.1018014484708,29.9753660475422,24.0802476453038
"17927","MOXD1","MOXD1",77.8581373888186,496.743856220498,411.728387357622,77.6717196866209
"17928","MOXD2P","MOXD2P",0,2.00000413672387,2.25330668922639,0.500000761656811
"17929","MPC1","MPC1",522.743285544311,992.547615796677,1051.5032744069,593.766299131298
"17930","MPC1L","MPC1L",0,1.00000206836194,3.13755524501202,2.00000304662724
"17931","MPC2","MPC2",796.746304237933,1000.6784406178,1034.68689485616,1273.66274901438
"17932","MPDU1","MPDU1",548.471088530215,563.450348248674,406.076670813725,489.119035379487
"17933","MPDZ","MPDZ",693.269729768195,1130.41793303756,1097.14764543322,1558.92808948394
"17934","MPEG1","MPEG1",3.01772979744445,13.1595506645104,20.0984048213499,12.0364889714686
"17935","MPG","MPG",273.844140604047,419.003509080765,274.534848236266,477.817987782459
"17936","MPHOSPH10","MPHOSPH10",1050.26003020606,949.519361226839,919.820967479418,1730.25738036508
"17937","MPHOSPH10P1","MPHOSPH10P1",0,0,4.02203237000656,1.00008297656143
"17938","MPHOSPH10P2","MPHOSPH10P2",6.79785638953889,4.44922258275772,11.4264747500606,1.00303565679439
"17939","MPHOSPH10P3","MPHOSPH10P3",0,5.18362153569663,5.47733252308087,0
"17940","MPHOSPH10P5","MPHOSPH10P5",0,0,1.00000457451856,0
"17941","MPHOSPH10P7","MPHOSPH10P7",0,3.67569112181296,1.01501871442827,0
"17942","MPHOSPH10P9","MPHOSPH10P9",13.1987219632427,31.5148353076717,38.830908621457,25.087559597608
"17943","MPHOSPH6","MPHOSPH6",641.931847721524,539.451337253789,530.179165635622,641.738535602915
"17944","MPHOSPH6P1","MPHOSPH6P1",5.09892223908403,6.2138818001396,8.20837743006201,9.79947733703798
"17945","MPHOSPH8","MPHOSPH8",2158.85758749789,2136.16259766704,1971.5254685036,3376.03397715651
"17946","MPHOSPH9","MPHOSPH9",532.950381381741,496.25853369537,472.249413914491,837.196294452061
